0,NULL,人形説明
1,れいむ,博麗霊夢の力を持つ人形。空を飛ぶ程度の能力と　霊力を操る程度の能力を持つ。妖怪の力を持つ人形に強い。妖怪の人形を見るとグーで殴りかかる。
2,まりさ,霧雨魔理沙の力を持つ人形。魔法を使う程度の能力を持つ。人の持ち物を持ち去り　自分の住処へ持ち帰る習性をもつ。嫌いな相手には魔法を放つ。
3,シンギョク,シンギョクの力を持つ人形。門を見つけると何があっても守ろうとする。男の子と女の子と陰陽玉がそろって初めて力を発揮する。
4,ユウゲンマガン,ユウゲンマガンの力を持つ人形。大きな眼球から様々な弾幕を放つ。魔界の門あたりをうろうろしていることが多い。
5,エリス,エリスの力を持つ人形。悪魔の力を　魔法のステッキから放つ。コウモリの人形を操ったり　自分がコウモリの人形に変身することもできる。
6,サリエル,サリエルの力を持つ人形。魔界で死の天使の力を自由に振っていることが多い。何を目的として行動しているのか　人形自身もわかっていない。
7,みま,魅魔の力を持つ人形。霊夢の人形が持つ陰陽玉を狙っている。足が無く　幽霊のように浮いているが　自由に足を出すこともできるらしい。
8,キクリ,キクリの力を持つ人形。円盤状の物体から上半身が飛び出している。よく地獄で見かけられるが　幻想郷でも見かけることがある。地獄の神様の力を宿している。
9,コンガラ,コンガラの力を持つ人形。地獄の剣士の力を持ち　刀を使って戦う。仏の人形の一種だが　額の一本角のせいで　鬼の人形と勘違いしやすい。
10,りか,里香の力を持つ人形。オモチャの戦車で戦う。人形自身が戦車を作って戦うこともある。小さいイビルアイΣを見つけたら　彼女の人形が必ずそばにいる。
11,中ボス,封魔録2面中ボス
12,めいら,明羅の力を持つ人形。博麗の力を求めて　霊夢の人形に戦いを挑んでいる。他の人形と違い　常識がありそう。博麗神社周辺で地面に埋まっていることが多い。
13,中ボス,封魔録4面中ボス
14,エレン,エレンの力を持つ人形。ふわふわ頭がチャームポイント。博麗神社近くの魔法専用店で遊んでいる。そばにいる猫の人形の名前はソクラテス。
15,ことひめ,小兎姫の力を持つ人形。変なものをみつけては　収集している。オモチャの手錠で　人妖問わず捕まえてまわっている。
16,カナ,カナ・アナベラルの力を持つ人形。騒霊の力を持つ。外の世界の道路標識に似せたオモチャを持っている。大きな屋敷や博麗神社周辺でよく見かける。
