index,種類,効果,対象,ID
0,攻撃,2～3ターン同じ攻撃を続け、その後混乱,1,150
1,攻撃,4～5ターン拘束,1,149
2,攻撃,5ターンの間 能力を下げられなくなる　自分の場,1,162
3,攻撃,HP吸収与えたダメージの1/2,1,141
4,攻撃,このターンに相手からダメージを受けていると威力倍,1,115
5,攻撃,このターンに相手からダメージを受けていると失敗,1,109
6,攻撃,なんらかの地相の時威力倍、成功した時地相解除,1,164
7,攻撃,なんらかの天候の時威力倍、成功した時天候解除,1,163
8,攻撃,バリアオプション貫通,1,243
9,攻撃,まもる系解除,1,170
10,攻撃,外した時反動ダメージ1/2,1,124
11,攻撃,固定ダメージ（999）,1,138
12,攻撃,固定ダメージ（このターン受けたスキルダメージの倍）,1,137
13,攻撃,固定ダメージ（このターン受けた拡散ダメージの倍）,1,136
14,攻撃,固定ダメージ（このターン受けた集中ダメージの倍）,1,135
15,攻撃,固定ダメージ（自分のレベル）,1,133
16,攻撃,固定ダメージ（自分の現在HP）自分は戦闘不能,1,134
17,攻撃,固定ダメージ（相手現在HPの半分）,1,139
18,攻撃,固定ダメージ（相手現在HP-自分現在HP）,1,140
19,攻撃,控え最後の人形の第一属性になる,1,227
20,攻撃,攻撃した後、交代する,1,60
21,攻撃,次のターン反動で動けない,1,50
22,攻撃,自分が後攻の時威力倍,1,110
23,攻撃,自分が状態異常の時威力倍　恐怖・暗闇無視,1,123
24,攻撃,自分が装飾品を持っていない時のみ使用可能 相手を毒に,1,147
25,攻撃,自分が装飾品を持っていない時威力倍,1,111
26,攻撃,自分の5ステ1段上昇,1,63
27,攻撃,自分の5ステからランダムに1段上昇,1,65
28,攻撃,自分のコストが相手より高いほど威力が上がる,1,121
29,攻撃,自分の現在HPが少ないほど威力が上がる,1,122
30,攻撃,自分の現在HPが多いほど威力が上がる,1,117
31,攻撃,自分の散弾1段上昇,1,31
32,攻撃,自分の散弾2段低下,1,56
33,攻撃,自分の散防1段上昇,1,32
34,攻撃,自分の持つスキルをすべて使うと使用可能,1,144
35,攻撃,自分の集弾・散弾の代わりに相手の集弾・散弾でダメージ計算,1,129
36,攻撃,自分の集弾・集防1段低下,1,62
37,攻撃,自分の集弾1段上昇,1,29
38,攻撃,自分の集弾2段低下,1,234
39,攻撃,自分の集防・散防1段低下,1,49
40,攻撃,自分の集防1段上昇,1,30
41,攻撃,自分の俊敏1段上昇,1,33
42,攻撃,自分の俊敏が1段低下,1,226
